WHO Country Name,WHO Region,Avg. NO2 (μg/m3),Avg. NO2 temporal coverage (%),Latitude (generated),Longitude (generated)
United Kingdom,European Region,23.565804677,96.495170484,52.289,-1.259
Turkey,European Region,29.967392996,94.970030423,39.144,34.188
Trinidad and Tobago,Region of the Americas,12.4,51.45,10.4435,-61.2604
Thailand,South East Asia Region,19.759189189,79.561061747,15.688,100.845
Switzerland,European Region,22.177666667,99.274895806,46.7794,8.0329
Sweden,European Region,15.326216216,95.328874167,66.2188,19
Spain,European Region,15.903550475,95.877679582,40.617,-3.388
South Africa,African Region,23.166460177,75,-31.7,23.441
Slovenia,European Region,20.247464789,93.469697286,46.037,14.534
Slovakia,European Region,19.770101010,94.906655645,48.8595,19.4434
Singapore,Western Pacific Region,24,100,1.3389,103.8297
Serbia,European Region,23.236769231,94.361238886,44.021,20.699
Senegal,African Region,23.911,75,15.044,-15.081
Romania,European Region,19.718972973,89.344436916,45.933,25.119
Republic of Korea,Western Pacific Region,36.983125,94.014583333,36.338,128.16
Qatar,Eastern Mediterranean Region,35.2,99,25.3174,51.1522
Portugal,European Region,16.808992806,94.435226683,40.957,-7.9373
Poland,European Region,16.362747126,96.010392069,52.442,19.72
Peru,Region of the Americas,22.672666667,24.444444444,-12.664,-72.98
Norway,European Region,21.535555556,93.643598527,61.3701,9.3031
North Macedonia,European Region,20.572727273,90.315952283,41.636,21.676
Netherlands,European Region,22.185248042,97.750431062,52.1704,5.0102
Myanmar,South East Asia Region,6.815,94.711538462,21.841,96.05
Montenegro,European Region,20.759047619,91.652862052,42.857,19.096
Monaco,European Region,33.7125,92.65,43.7384,7.4243
Mexico,Region of the Americas,29.921894737,86.826639244,22.925,-101.68
Mauritius,African Region,14.95,75,-20.2529,57.5902
Malta,European Region,16.3,92.222594228,35.9024,14.4137
Luxembourg,European Region,22.078947368,95.638311466,49.671,6.113
Lithuania,European Region,14.375714286,95.226078190,55.342,24.23
Liechtenstein,,23.59,98.265,47.1593,9.547
Lebanon,Eastern Mediterranean Region,53,66,34.161,36.021
Latvia,European Region,15.775833333,93.316776802,57.017,25.0173
Kuwait,Eastern Mediterranean Region,44.590625,92.633692708,29.3169,47.4272
Jordan,Eastern Mediterranean Region,22.206666667,95.389682540,30.681,36.279
Japan,Western Pacific Region,23.269,98.143206494,35.962,137.855
Italy,European Region,22.520733760,93.519235352,44.3713,11.1084
Ireland,European Region,13.477049180,93.826608100,53.214,-7.588
India,South East Asia Region,21.966095730,85.457290284,22.741,78.236
Iceland,European Region,7.896052632,94.626092499,64.826,-18.417
Hungary,European Region,19.250656934,95.491576897,47.174,19.618
Greece,European Region,25.018859649,93.288468371,39.787,21.617
Germany,European Region,24.708707004,97.454210260,51.3819,9.9877
France,European Region,19.228453159,97.376304791,46.656,2.543
Finland,European Region,13.281898734,97.400624092,62.716,26.192
Estonia,European Region,6.775178571,98.770451074,58.777,25.977
Denmark,European Region,14.347096774,92.504940316,56.113,9.096
Czechia,European Region,16.427227979,95.264953134,49.848,15.2812
Cyprus,European Region,15.941578947,97.528963470,34.894,32.928
Croatia,European Region,18.334098361,91.747345076,45.754,16.385
Costa Rica,Region of the Americas,40.71,100,10.126,-84.075
Colombia,Region of the Americas,24.285333333,79.290958904,3.794,-73.606
Chile,Region of the Americas,16.46,92.851515152,-23.176,-69.201
Canada,Region of the Americas,11.251689498,96.950380518,59.2067,-111.1937
Bulgaria,European Region,18.974453125,94.441523747,42.625,24.521
Brazil,Region of the Americas,17.214761905,91.077692873,-11.694,-48.978
Bosnia and Herzegovina,European Region,21.513870968,93.882822431,44.342,17.804
Belgium,European Region,21.714078091,95.101978318,50.6745,4.4588
Bangladesh,South East Asia Region,33.875675676,68.940480480,24.598,90.1963
Bahrain,Eastern Mediterranean Region,51.625,80.821917808,26.025,50.5534
Austria,European Region,19.429443801,94.473442421,47.65,14.705
Australia,Western Pacific Region,8.929803922,91.153266853,-24.578,133.582
Argentina,Region of the Americas,17.4425,91.666666667,-33.166,-64.31
Andorra,European Region,28.455714286,95.742347767,42.5425,1.5893
Albania,European Region,20.325,88.637864297,40.654,20.076
